Удельный расход кокса (кг/т),Чугун.Si,Чугун.P,t колошникового газа 4 (°С),t колошникового газа 3 (°С),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа в пылеуловителе (°С),Чугун.Ti,Уровень засыпи (юг) (м),Положение клапана малый снорт (%),Уровень засыпи (север) (м),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),Длительность простоя (сут),t периферийных газов 5 (°С),O₂ в горячем дутье,Колошниковый газ (H₂),Чугун.C,Содержание кислорода в дутье (%),Перепад давлений нижний (ат),Колошниковый газ (CO₂),Расход холодного дутья (м³/ч),Перепад давлений общий (ат),Расход природного газа (м³/ч),Выход колошникового газа (м³/ч),Шлак,упдп,CO₂ в колошниковом газе (%)
486.0287569,,,193.3548908,210.1470172,180.053566,206.3878345,181.8424212,,3.099230258,0.698732865,3.258666714,3.028795868,3.495642235,0.0,565.0607923,24.73333359,7.200000127,,24.29431796,0.921488556,18.30000051,203451.6289,1.138347447,12528.08964,268380.4284,,,15.31410509
484.3325435,,,200.5800559,213.2353745,178.8587767,206.856336,186.1190255,,3.016981532,7.210506079,3.023188919,2.813899159,3.357210884,0.0,682.5658875,24.56666629,7.366666635,,24.68691413,0.918044562,18.39999962,204074.9408,1.143241897,13394.75134,269354.7598,,,
488.7785746,,,194.7694461,211.3825645,180.0246995,202.135025,183.8988597,,2.768876791,3.930847399,2.804151565,2.592630774,3.137331198,0.0,706.6745351,24.79999987,7.300000032,,24.47906931,0.921859381,17.43333308,206742.127,1.143945004,13335.50252,274015.4258,,,
479.3897012,,,176.7355143,196.5915502,168.2601725,187.7436314,171.9746463,,2.692635298,7.699928107,2.654566576,2.458376169,2.983195047,0.0,630.8991241,25.10000038,7.400000095,,24.35639429,0.930799231,18.09999975,206440.4264,1.167303254,13494.76217,273434.6003,,,
482.3986253,,,191.8258171,211.7334983,179.7657839,202.5220343,183.0431137,,2.435027301,5.761678648,2.419577102,2.224087586,2.752961338,0.0,563.1403859,25.63333257,7.400000095,,24.69452786,0.9194647,18.66666667,206910.3229,1.162872682,13659.49361,276335.4909,,,
483.726069,,,219.559255,250.518919,208.9791012,234.6662458,208.083341,,2.217749134,1.698783786,2.162173778,1.992281655,2.468669335,0.0,620.003596,25.93333371,7.333333333,,24.91837851,0.929118643,18.16666667,205715.446,1.183043992,13855.05164,277179.974,,,
470.7182064,,,191.5778573,209.7314154,185.3901787,199.582545,182.1302859,,2.670646802,1.713566252,2.673388168,2.47723496,2.923350523,0.0,585.9505183,25.70000013,7.066666603,,24.68327522,0.947485072,18.59999975,201577.7676,1.185856193,12751.47502,271397.0443,,,
476.8438617,,,186.7260513,210.720623,181.3528595,192.0922623,177.3251661,,1.886022493,0.979395707,1.81343328,1.664173608,2.120574082,0.0,591.318751,25.73333359,7.033333302,,25.63456925,0.920531251,18.33333333,200704.0104,1.167825242,12923.34021,272450.431,,,
491.0073777,,,181.0434837,213.4371045,176.4909782,182.7972088,170.4961974,,1.383145193,4.688626158,1.304708386,1.15398784,1.615126684,0.0,537.438132,25.90000025,7.26666673,,25.92668804,0.912978013,18.36666679,201159.4987,1.174883097,13654.37956,273579.4505,,,
486.8490923,,,211.3439356,240.5553811,199.9603666,214.7559821,196.627292,,1.456548254,8.587201208,1.398886244,1.276455164,1.684852267,0.0,594.7378337,26.06666692,7.599999905,,25.82433828,0.914229318,18.26666705,200926.2409,1.184958503,14997.85486,273054.6439,,,
475.6144092,,,219.402174,249.3412107,218.4356505,237.7312978,207.6635399,,1.862816726,9.824867006,1.834329401,1.664369509,2.088424017,0.0,592.9948705,26.06666692,7.366666476,,25.56032443,0.915039353,18.09999975,197484.61,1.172989016,13549.62716,268376.1745,,,
