Количество чугуна (т),Перепад давлений общий (ат),Перепад давлений нижний (ат),Расход природного газа (м³/ч),Расход холодного дутья (м³/ч),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),O₂ в горячем дутье,t колошникового газа 2 (°С),t колошникового газа 1 (°С),Уровень засыпи (север) (м),t периферийных газов 5 (°С),t колошникового газа 4 (°С),t колошникового газа 3 (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м)
4017.581,1.190274303,0.9246875,12998.73018,202718.61,275484.8073,7.166666508,26.5,159.3655802,166.6867828,1.17566737,512.9286054,162.1172562,196.2222411,1.034451619,1.452294519
3999.383,1.197540725,0.930875262,12998.58838,201445.8639,273763.1367,7.399999936,25.96666654,176.5015799,177.0736637,1.136599742,538.989919,176.5675672,212.582894,1.018357642,1.393411388
3991.191,1.202091441,0.935344912,12999.17985,200360.0742,273580.8034,7.5,25.70000076,171.0461623,168.4587256,1.111635362,545.951561,174.013799,212.2483482,0.96577928,1.350457122
3997.163,1.2045602,0.936060193,12999.0977,198210.0215,273190.1471,7.433333238,26.23333359,165.8001499,162.3891754,1.072823152,547.7239011,169.9170049,207.1863155,0.95398917,1.356017431
4099.568,1.186396634,0.920771954,12987.10706,201973.4688,276499.6341,7.400000095,26.03333346,171.6917852,165.2861315,1.072126066,554.9154358,175.835858,208.8630962,0.946845586,1.33073701
4054.542,1.232605914,0.953677081,13829.73006,205084.347,279058.4583,7.300000032,26.5,181.357378,175.1928438,1.073987732,571.0115077,182.5205046,219.867712,0.918090157,1.280691425
4171.825,1.216300363,0.955072912,12998.42297,203171.349,276679.4596,7.400000095,26.3333327,167.5961615,165.0294806,1.430117366,521.8863246,164.9717738,197.3615793,1.297917607,1.708496173
4101.126,1.200866347,0.934741616,13348.18807,206335.2507,282161.6979,7.133333365,26.40000025,169.5037346,173.0498695,1.093032522,539.1548805,168.6176764,207.8921591,0.928822679,1.346015076
4111.684,1.186131949,0.932128477,12998.70142,203472.5117,275700.7695,7.26666673,26.70000013,175.4703096,165.2386913,1.4258529,526.681483,170.9317983,207.5842063,1.273843634,1.706447691
3993.139,1.169880783,0.919805564,12999.06669,206106.0313,277872.543,7.066666603,26.13333321,186.2937082,176.3652713,1.243031606,570.0988719,186.8664761,215.9982408,1.132564177,1.516173845
4104.925,1.179239551,0.922730674,12998.35706,210564.2161,286918.7396,7.133333206,25.40000025,190.807731,179.5507476,1.039215816,610.7198105,192.899683,235.4316069,0.923248731,1.336298883
4153.551,1.184630786,0.931176506,12982.34753,211173.3848,286532.7982,7.066666603,25.73333295,180.6988138,168.5597744,1.1310041,567.732722,183.0434024,218.0455907,0.995094905,1.35622477
4139.083,1.19743983,0.939244797,13328.15466,209957.6686,287851.0065,7.0,25.59999975,177.774931,167.522714,1.050194616,574.9700368,184.6050828,221.9494521,0.934051101,1.312797979
3512.665,1.038731674,0.81255452,11589.94683,185958.1108,262418.1787,7.299999952,26.5,189.0979481,181.6774578,1.399106311,572.6737798,197.6728446,228.3263957,1.282044085,1.661909799
4298.388,1.189729164,0.923889476,13997.68103,215534.8874,303524.1563,7.333333333,26.29999987,177.4084269,165.7538668,1.071865618,559.1294352,184.8755995,228.6588631,0.964633385,1.382718697
4332.186,1.175262724,0.909418988,13961.47148,216065.5807,303860.3503,7.300000032,26.23333359,182.6777128,170.7515844,1.128085474,572.5009867,184.3793805,221.2061297,0.999802319,1.380579109
4143.589,1.145910509,0.896068879,13185.03432,207379.0023,294208.2064,7.133333365,25.66666667,165.941728,161.2317556,1.072056033,577.9150035,177.3271306,211.1559232,1.00840795,1.343043188
4017.986,1.135035325,0.892885399,13064.02865,208575.4489,283851.0501,7.266666571,25.86666679,164.8022448,157.6616529,1.116043848,537.7179642,171.6860193,214.9977398,1.01116134,1.429449414
3984.257,1.174657688,0.920440398,13498.68457,206432.4349,285403.6003,7.466666698,25.43333308,192.3372593,182.0504386,1.101592533,596.864062,192.7686227,235.9476376,1.050728147,1.333631287
4203.489,1.172934324,0.929481772,13498.47168,208000.0163,289958.2878,7.399999936,26.43333308,171.6171869,164.7860851,1.121955032,541.6455015,170.8935076,209.52174,1.052417703,1.301593254
4204.856,1.182525704,0.928720122,13498.58183,210200.041,292839.8047,7.399999936,25.60000038,167.6569176,159.787536,1.028154818,524.1414032,174.584348,216.4468123,0.963539111,1.335259537
4096.037,1.191288476,0.937710067,13498.93188,209276.0592,291238.1745,7.73333327,25.63333321,183.7807744,177.8230737,0.974348694,515.078804,193.4929237,237.3181318,0.945442006,1.305842837
4225.561,1.203866333,0.948713546,13489.94478,207422.1725,292425.1966,7.866666794,25.86666679,177.3446312,171.7905922,1.0370988,544.408357,183.6522694,223.0802129,0.955229657,1.341544583
